buid,Plan,Building,Tier,Category,Production Time,Resource Type,Resource,Resource Quantity,Resource Dependency
2-06-P-AFI,Islands,Alpaca Farm (Islands),6,Poncho,31,Output Resource,Alpaca Wool*,2,N/A
2-06-P-AFI,Islands,Alpaca Farm (Islands),6,Poncho,N/A,Build Resource,Stone*,3,Quarry*
2-06-P-AFI,Islands,Alpaca Farm (Islands),6,Poncho,N/A,Build Resource,Timber*,8,Bamboo Factory*
2-06-P-AFI,Islands,Alpaca Farm (Islands),6,Poncho,N/A,Maintenance Resource,Fish*,1,Fishery*
2-06-P-AFI,Islands,Alpaca Farm (Islands),6,Poncho,N/A,Maintenance Resource,Water*,1,Well*
2-06-P-AFI,Islands,Alpaca Farm (Islands),6,Poncho,N/A,Input Resource,None,1,None
2-05-T-BFI,Islands,Bamboo Factory (Islands),5,Timber,N/A,Input Resource,Bamboo*,2,Bamboo Plantation*
2-05-T-BFI,Islands,Bamboo Factory (Islands),5,Timber,N/A,Build Resource,Stone*,1,Quarry*
2-05-T-BFI,Islands,Bamboo Factory (Islands),5,Timber,N/A,Build Resource,Timber*,4,Bamboo Factory*
2-05-T-BFI,Islands,Bamboo Factory (Islands),5,Timber,N/A,Maintenance Resource,None,0,None
2-05-T-BFI,Islands,Bamboo Factory (Islands),5,Timber,30,Output Resource,Timber*,4,N/A
2-05-T-BPI,Islands,Bamboo Plantation (Islands),5,Timber,30,Output Resource,Bamboo*,2,N/A
2-05-T-BPI,Islands,Bamboo Plantation (Islands),5,Timber,N/A,Build Resource,Timber*,4,Bamboo Factory*
2-05-T-BPI,Islands,Bamboo Plantation (Islands),5,Timber,N/A,Maintenance Resource,None,0,None
2-05-T-BPI,Islands,Bamboo Plantation (Islands),5,Timber,N/A,Input Resource,None,1,None
2-06-FB-BFI,Islands,Banana Farm (Islands),6,Fried Banana,31,Output Resource,Banana*,2,N/A
2-06-FB-BFI,Islands,Banana Farm (Islands),6,Fried Banana,N/A,Build Resource,Stone*,3,Quarry*
2-06-FB-BFI,Islands,Banana Farm (Islands),6,Fried Banana,N/A,Build Resource,Timber*,8,Bamboo Factory*
2-06-FB-BFI,Islands,Banana Farm (Islands),6,Fried Banana,N/A,Maintenance Resource,Fish*,1,Fishery*
2-06-FB-BFI,Islands,Banana Farm (Islands),6,Fried Banana,N/A,Maintenance Resource,Water*,1,Well*
2-06-FB-BFI,Islands,Banana Farm (Islands),6,Fried Banana,N/A,Input Resource,None,1,None
2-01-B-BFI,Islands,Brick Factory (Islands),6,Brick,45,Output Resource,Brick*,2,N/A
2-01-B-BFI,Islands,Brick Factory (Islands),6,Brick,N/A,Input Resource,Clay*,2,Clay Pit
2-01-B-BFI,Islands,Brick Factory (Islands),6,Brick,N/A,Build Resource,Stone*,16,Quarry*
2-01-B-BFI,Islands,Brick Factory (Islands),6,Brick,N/A,Build Resource,Timber*,32,Bamboo Factory*
2-01-B-BFI,Islands,Brick Factory (Islands),6,Brick,N/A,Maintenance Resource,Rum*,2,Rum Distillery*
2-01-B-BFI,Islands,Brick Factory (Islands),6,Brick,N/A,Maintenance Resource,Fried Banana*,2,Fried Banana Kitchen*
2-01-B-BFI,Islands,Brick Factory (Islands),6,Brick,N/A,Maintenance Resource,Poncho*,2,Poncho Darner*
2-06-C-CFI,Islands,Caoutchouc Farm (Islands),6,Caoutchouc,31,Output Resource,Caoutchouc*,2,N/A
2-06-C-CFI,Islands,Caoutchouc Farm (Islands),6,Caoutchouc,N/A,Build Resource,Stone*,3,Quarry*
2-06-C-CFI,Islands,Caoutchouc Farm (Islands),6,Caoutchouc,N/A,Build Resource,Brick*,2,Brick Factory*
2-06-C-CFI,Islands,Caoutchouc Farm (Islands),6,Caoutchouc,N/A,Build Resource,Timber*,8,Bamboo Factory*
2-06-C-CFI,Islands,Caoutchouc Farm (Islands),6,Caoutchouc,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
2-06-C-CFI,Islands,Caoutchouc Farm (Islands),6,Caoutchouc,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
2-06-C-CFI,Islands,Caoutchouc Farm (Islands),6,Caoutchouc,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
2-06-C-CFI,Islands,Caoutchouc Farm (Islands),6,Caoutchouc,N/A,Input Resource,None,1,None
2-04-CF-CFI,Islands,Cattle Farm (Islands),7,Canned Food,31,Output Resource,Beef*,2,N/A
2-04-CF-CFI,Islands,Cattle Farm (Islands),7,Canned Food,N/A,Build Resource,Stone*,8,Quarry*
2-04-CF-CFI,Islands,Cattle Farm (Islands),7,Canned Food,N/A,Build Resource,Brick*,7,Brick Factory*
2-04-CF-CFI,Islands,Cattle Farm (Islands),7,Canned Food,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-04-CF-CFI,Islands,Cattle Farm (Islands),7,Canned Food,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
2-04-CF-CFI,Islands,Cattle Farm (Islands),7,Canned Food,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
2-04-CF-CFI,Islands,Cattle Farm (Islands),7,Canned Food,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
2-04-CF-CFI,Islands,Cattle Farm (Islands),7,Canned Food,N/A,Input Resource,None,1,None
2-07-L-CFI,Islands,Citrus Farm (Islands),7,Lemonade,31,Output Resource,Citrus*,2,N/A
2-07-L-CFI,Islands,Citrus Farm (Islands),7,Lemonade,N/A,Build Resource,Stone*,8,Quarry*
2-07-L-CFI,Islands,Citrus Farm (Islands),7,Lemonade,N/A,Build Resource,Brick*,7,Brick Factory*
2-07-L-CFI,Islands,Citrus Farm (Islands),7,Lemonade,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-07-L-CFI,Islands,Citrus Farm (Islands),7,Lemonade,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
