Plan,Building,Tier,Category,Production Time,Resource Type,Resource,Resource Quantity,Resource Dependency
Master,Storage,0,Storage,0,Build Resource,Plank,1,Sawmill
Islands,Poncho Darner*,6,Poncho,N/A,Input Resource,Alpaca Wool*,1,Alpaca Farm*
Master,Storage,0,Storage,N/A,Maintenance Resource,None,0,None
Islands,Alpaca Farm*,6,Poncho,31,Output Resource,Alpaca Wool*,2,N/A
Master,Fishery,0,Fish,N/A,Build Resource,Plank,2,Sawmill
Mountains,Revolver Factory**,9,Revolver,N/A,Input Resource,Ammo**,1,Ammo Factory**
Master,Fishery,0,Fish,N/A,Maintenance Resource,None,0,None
Mountains,Ammo Factory**,9,Revolver,30,Output Resource,Ammo**,2,N/A
Master,Well,0,Water,N/A,Build Resource,Plank,2,Sawmill
Master,Storage,0,Storage,N/A,Input Resource,Any,1,None
Master,Well,0,Water,N/A,Maintenance Resource,None,0,None
Master,Anchor Workshop,4,Anchor,45,Output Resource,Anchor,1,N/A
Master,Lumber Camp,0,Plank,N/A,Build Resource,Plank,2,Sawmill
Master,Pillar,2,Pillar,N/A,Input Resource,Any,1,None
Master,Lumber Camp,0,Plank,N/A,Maintenance Resource,None,0,None
Master,Storage,0,Storage,0,Output Resource,Any,1,N/A
Master,Sawmill,0,Plank,N/A,Build Resource,Plank,2,Sawmill
Master,Sawmill,0,Plank,N/A,Build Resource,Stone,1,Quarry
Islands,Storage*,5,Storage,N/A,Input Resource,Any*,1,None
Master,Sawmill,0,Plank,N/A,Maintenance Resource,None,0,None
Master,Pillar,2,Pillar,2,Output Resource,Any,1,N/A
Master,Quarry,0,Stone,N/A,Build Resource,Plank,2,Sawmill
Islands,Pillar*,5,Pillar,N/A,Input Resource,Any*,1,None
Master,Quarry,0,Stone,N/A,Maintenance Resource,None,0,None
Islands,Storage*,5,Storage,0,Output Resource,Any*,1,N/A
Master,Farm,1,Bread,N/A,Build Resource,Plank,4,Sawmill
Master,Farm,1,Bread,N/A,Build Resource,Stone,3,Quarry
Mountains,Storage**,6,Storage,N/A,Input Resource,Any**,1,None
Master,Farm,1,Bread,N/A,Maintenance Resource,Fish,1,Fishery
Master,Farm,1,Bread,N/A,Maintenance Resource,Water,1,Well
Islands,Pillar*,5,Pillar,2,Output Resource,Any*,1,N/A
Master,Mill,1,Bread,N/A,Build Resource,Plank,4,Sawmill
Master,Mill,1,Bread,N/A,Build Resource,Stone,3,Quarry
Mountains,Pillar**,6,Pillar,N/A,Input Resource,Any**,1,None
Master,Mill,1,Bread,N/A,Maintenance Resource,Fish,2,Fishery
Master,Mill,1,Bread,N/A,Maintenance Resource,Water,2,Well
Mountains,Storage**,6,Storage,0,Output Resource,Any**,1,N/A
